path,guid,width,height,spriteBorder,prefab_count,colors,prefabs
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseItem.png,8c26a13b0a93d1244b7387c042f11007,188,188,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 6}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseNotMusic.png,9684f9dfa823ff34d93bd698204d3f5d,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Common/BizzaGame/Z_ReplaceAssets/UI_Frame/SettingPanel/Bg_PauseNotShake.png,8e443b1d19ae67a44a64f29c0c0d1be5,140,140,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Common/UI/SettingPanel/PausePanel.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DailyTask/HB_RC_BG_3.png,dd21f8c57400e0544b4edd0af801a114,794,40,"{x: 67, y: 19, z: 40, w: 19}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskPage.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DailyTask/HB_RC_BG_4.png,ce5e2178c64a2e1479eb5aa48abe71cd,794,40,"{x: 59, y: 14, z: 66, w: 17}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskPage.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DailyTask/Task_RewardBg.png,0a76d39c84ffce44db8afc2f767b19a0,160,160,"{x: 53, y: 66, z: 54, w: 65}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/MenuSystem/Common/Task/UIDailyTaskElement.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DanPanel/Bg_DanLevel.png,f0252d311642f0442b4c7e5d506578c6,177,48,"{x: 0, y: 0, z: 0, w: 0}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/WithdrawDanPanel/WithdrawDanItem.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DanPanel/Icon_CanClaim.png,98cf9d83487ea074ebc24446970300d5,169,86,"{x: 84.5, y: 43, z: 84.5, w: 43}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/DailyBonusItem.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/DanPanel/Icon_Claimed.png,1f296b394f1e63d42981c43fcf05074d,169,86,"{x: 84.5, y: 43, z: 84.5, w: 43}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/RealWithdrawalPanl/DailyBonusItem.prefab
Assets/BizzaWZ/Final/BizzaGame/Z_ReplaceAssets/UI_Frame/FakeWithdrawPanel/Bg_FakeCanWithdraw.png,37f3619c85de02849a7d1736e61af3c4,280,184,"{x: 37, y: 35, z: 200, w: 50}",1,"{""{r: 1, g: 1, b: 1, a: 1}"": 1}",Assets/BizzaWZ/Final/Real/UI/FakeWithdrawPanel/WithdrawAmountItem.prefab
